127.0.0.1, 2017-03-09 13:34:27, GET, /RepoWorks/ver_trabalhos/, HTTP/1.1, 404, 0.015157
127.0.0.1, 2017-03-09 13:34:27, GET, /favicon.ico, HTTP/1.1, 400, 0.000347
127.0.0.1, 2017-03-09 13:34:28, GET, /RepoWorks/ver_trabalhos/, HTTP/1.1, 404, 0.020531
127.0.0.1, 2017-03-09 13:34:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000763
127.0.0.1, 2017-03-09 13:34:28, GET, /RepoWorks/ver_trabalhos/, HTTP/1.1, 404, 0.015282
127.0.0.1, 2017-03-09 13:34:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000273
127.0.0.1, 2017-03-09 13:34:28, GET, /RepoWorks/ver_trabalhos/, HTTP/1.1, 404, 0.014132
127.0.0.1, 2017-03-09 13:34:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000256
127.0.0.1, 2017-03-09 13:34:29, GET, /favicon.ico, HTTP/1.1, 400, 0.000233
127.0.0.1, 2017-03-09 13:34:30, GET, /RepoWorks/, HTTP/1.1, 200, 0.031372
127.0.0.1, 2017-03-09 13:34:44, GET, /RepoWorks/ver_trabalhos, HTTP/1.1, 404, 0.015836
127.0.0.1, 2017-03-09 13:34:44, GET, /favicon.ico, HTTP/1.1, 400, 0.000258
127.0.0.1, 2017-03-09 13:45:23, GET, /crud, HTTP/1.1, 200, 0.019134
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/css/calendar.css, HTTP/1.1, 200, 0.000592
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/css/stupid.css, HTTP/1.1, 200, 0.000650
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/js/calendar.js, HTTP/1.1, 200, 0.000501
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/js/jquery.js, HTTP/1.1, 200, 0.000403
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/js/web2py.js, HTTP/1.1, 200, 0.000636
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/css/web2py.css, HTTP/1.1, 200, 0.006439
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/css/examples.css, HTTP/1.1, 200, 0.000702
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000372
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/images/book-5th.png, HTTP/1.1, 200, 0.000431
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/images/videos.png, HTTP/1.1, 200, 0.000545
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/images/book-recipes.png, HTTP/1.1, 200, 0.000590
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.001270
127.0.0.1, 2017-03-09 13:45:23, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000367
127.0.0.1, 2017-03-09 13:45:30, GET, /crud/, HTTP/1.1, 200, 0.012120
127.0.0.1, 2017-03-09 13:48:52, GET, /crud/, HTTP/1.1, 200, 0.011586
127.0.0.1, 2017-03-09 13:48:52, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000342
127.0.0.1, 2017-03-09 13:48:55, GET, /crud/, HTTP/1.1, 200, 0.012256
127.0.0.1, 2017-03-09 13:48:55, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000376
127.0.0.1, 2017-03-09 13:48:55, GET, /crud/, HTTP/1.1, 200, 0.012342
127.0.0.1, 2017-03-09 13:48:55, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000336
127.0.0.1, 2017-03-09 13:48:55, GET, /crud/, HTTP/1.1, 200, 0.008533
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000323
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/, HTTP/1.1, 200, 0.009436
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000620
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/, HTTP/1.1, 200, 0.011532
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000507
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/, HTTP/1.1, 200, 0.009856
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000609
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/, HTTP/1.1, 200, 0.009251
127.0.0.1, 2017-03-09 13:48:56, GET, /crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000533
127.0.0.1, 2017-03-09 14:02:08, GET, /crud/, HTTP/1.1, 404, 0.027523
127.0.0.1, 2017-03-09 14:02:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000293
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/, HTTP/1.1, 200, 0.075047
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/css/calendar.css, HTTP/1.1, 200, 0.000588
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/js/jquery.js, HTTP/1.1, 200, 0.000547
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/css/web2py.css, HTTP/1.1, 200, 0.000509
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/js/calendar.js, HTTP/1.1, 200, 0.000507
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/css/examples.css, HTTP/1.1, 200, 0.000554
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/css/stupid.css, HTTP/1.1, 200, 0.002669
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/js/web2py.js, HTTP/1.1, 200, 0.006209
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/images/web2py_logo.png, HTTP/1.1, 200, 0.000590
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/images/book-5th.png, HTTP/1.1, 200, 0.000367
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/images/videos.png, HTTP/1.1, 200, 0.000349
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/images/book-recipes.png, HTTP/1.1, 200, 0.000349
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/images/infoworld2012.jpeg, HTTP/1.1, 200, 0.000808
127.0.0.1, 2017-03-09 14:02:17, GET, /Crud/static/images/favicon.ico, HTTP/1.1, 200, 0.000694
127.0.0.1, 2017-03-09 14:11:08, GET, /Crud/default/views/index, HTTP/1.1, 404, 0.003609
127.0.0.1, 2017-03-09 14:11:08, GET, /favicon.ico, HTTP/1.1, 400, 0.000244
127.0.0.1, 2017-03-09 14:11:15, GET, /Crud, HTTP/1.1, 200, 0.011823
127.0.0.1, 2017-03-09 14:16:22, GET, /Crud/default/novo_filme, HTTP/1.1, 404, 0.004743
127.0.0.1, 2017-03-09 14:16:22, GET, /favicon.ico, HTTP/1.1, 400, 0.000242
127.0.0.1, 2017-03-09 14:19:42, GET, /Crud/default/novo_filme/, HTTP/1.1, 200, 0.156545
127.0.0.1, 2017-03-09 14:29:55, GET, /Crud/default/novo_filme/, HTTP/1.1, 500, 0.110157
127.0.0.1, 2017-03-09 14:29:55, GET, /favicon.ico, HTTP/1.1, 400, 0.000361
127.0.0.1, 2017-03-09 14:29:58, GET, /admin/default/ticket/Crud/127.0.0.1.2017-03-09.14-29-55.dddc2633-33c5-4cbe-bd33-37d7d7dc7f3a, HTTP/1.1, 303, 0.256655
127.0.0.1, 2017-03-09 14:29:58, GET, /admin/default/index, HTTP/1.1, 200, 0.075483
127.0.0.1, 2017-03-09 14:29:58, GET, /favicon.ico, HTTP/1.1, 400, 0.000253
127.0.0.1, 2017-03-09 14:30:03, POST, /admin/default/index, HTTP/1.1, 303, 0.037230
127.0.0.1, 2017-03-09 14:30:03, GET, /admin/default/ticket/Crud/127.0.0.1.2017-03-09.14-29-55.dddc2633-33c5-4cbe-bd33-37d7d7dc7f3a, HTTP/1.1, 200, 0.050083
127.0.0.1, 2017-03-09 14:30:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000236
127.0.0.1, 2017-03-09 14:30:13, GET, /favicon.ico, HTTP/1.1, 400, 0.001249
127.0.0.1, 2017-03-09 14:32:03, GET, /Crud/default/novo_filme, HTTP/1.1, 500, 0.045707
127.0.0.1, 2017-03-09 14:32:03, GET, /favicon.ico, HTTP/1.1, 400, 0.000325
